"lacode","region","positive","number_samples","round","prevalence","lower","upper"
"E07000234","West Midlands",0,405,"round 1",0,0,0.00663602322198995
"E07000235","West Midlands",2,369,"round 1",0.00542005420054201,0.0014876349319275,0.0195439822211027
"E07000236","West Midlands",1,353,"round 1",0.0028328611898017,0.00050024471452442,0.0158696547921059
"E07000237","West Midlands",0,381,"round 1",0,0,0.00705109295461375
"E07000238","West Midlands",0,367,"round 1",0,0,0.00731810356106101
"E07000239","West Midlands",0,380,"round 1",0,0,0.00706951728390612
"E07000240","East of England",2,454,"round 1",0.00440528634361234,0.00120892087447997,0.0159180969383938
"E07000241","East of England",1,437,"round 1",0.0022883295194508,0.000404060623766021,0.0128466414229987
"E07000242","East of England",1,429,"round 1",0.00233100233100233,0.000411597725803029,0.0130840106584067
"E07000243","East of England",0,403,"round 1",0,0,0.00666873671742554
"E07000244","East of England",0,358,"round 1",0,0,0.00750069829309326
"E07000245","East of England",0,388,"round 1",0,0,0.00692476341691141
"E07000246","South West",0,369,"round 1",0,0,0.00727872775034236
"E08000001","North West",0,414,"round 1",0,0,0.006492698493207
"E08000002","North West",0,419,"round 1",0,0,0.00641571707105131
"E08000003","North West",1,308,"round 1",0.00324675324675325,0.000573361769807039,0.0181587812966892
"E08000004","North West",0,419,"round 1",0,0,0.00641571707105131
"E08000005","North West",1,380,"round 1",0.00263157894736842,0.000464689442598829,0.0147537260944859
"E08000006","North West",1,399,"round 1",0.0025062656641604,0.000442554515158149,0.014058085110651
"E08000007","North West",1,467,"round 1",0.00214132762312634,0.000378096965467767,0.0120283271317753
"E08000008","North West",1,419,"round 1",0.00238663484486874,0.000421423959821763,0.0133933491633861
"E08000009","North West",0,433,"round 1",0,0,0.00620956858305489
"E08000010","North West",0,440,"round 1",0,0,0.00611138372694886
"E08000011","North West",1,401,"round 1",0.00249376558603491,0.00044034657999019,0.0139886569062395
"E08000012","North West",2,335,"round 1",0.00597014925373134,0.0016387599737223,0.0215032098666437
"E08000013","North West",0,387,"round 1",0,0,0.00694253263660363
"E08000014","North West",0,415,"round 1",0,0,0.00647715477204995
"E08000015","North West",1,403,"round 1",0.00248138957816377,0.000438160566538762,0.0139199110951515
"E08000016","Yorkshire and The Humber",0,384,"round 1",0,0,0.00699639169878251
"E08000017","Yorkshire and The Humber",2,344,"round 1",0.00581395348837209,0.00159584639122942,0.0209473514417128
"E08000018","Yorkshire and The Humber",0,368,"round 1",0,0,0.00729836254641938
"E08000019","Yorkshire and The Humber",0,358,"round 1",0,0,0.00750069829309326
"E08000021","North East",1,369,"round 1",0.002710027100271,0.000478546616412202,0.0151888602196483
"E08000022","North East",1,436,"round 1",0.00229357798165138,0.000404987631164365,0.0128758405025825
"E08000023","North East",1,408,"round 1",0.00245098039215686,0.000432789324171503,0.0137509668168958
"E08000024","North East",0,426,"round 1",0,0,0.00631095980774299
"E08000025","West Midlands",0,302,"round 1",0,0,0.00887920653961784
"E08000026","West Midlands",0,359,"round 1",0,0,0.00747996126423419
"E08000027","West Midlands",0,363,"round 1",0,0,0.00739814723217347
"E08000028","West Midlands",1,290,"round 1",0.00344827586206897,0.000608964923282319,0.0192706628329175
"E08000029","West Midlands",0,365,"round 1",0,0,0.00735790771246062
"E08000030","West Midlands",2,357,"round 1",0.00560224089635854,0.00153768334393715,0.0201933529020687
"E08000031","West Midlands",2,332,"round 1",0.00602409638554217,0.00165358202075836,0.0216951100919706
"E08000032","Yorkshire and The Humber",2,314,"round 1",0.00636942675159236,0.0017484679449629,0.0229225074834433
"E08000033","Yorkshire and The Humber",0,412,"round 1",0,0,0.00652401082358547
"E08000034","Yorkshire and The Humber",1,374,"round 1",0.00267379679144385,0.000472146818705411,0.0149879322285391
"E08000035","Yorkshire and The Humber",0,407,"round 1",0,0,0.00660362911198576
"E08000036","Yorkshire and The Humber",0,403,"round 1",0,0,0.00666873671742554
"E08000037","North East",0,406,"round 1",0,0,0.00661978653685496
"E09000002","London",0,265,"round 1",0,0,0.010106415501102
"E09000003","London",3,351,"round 1",0.00854700854700855,0.00291092765875003,0.0248238777763362
"E09000004","London",1,393,"round 1",0.00254452926208651,0.000449313198842029,0.0142705672240688
"E09000005","London",1,230,"round 1",0.00434782608695652,0.00076791080699693,0.0242125133237525
"E09000006","London",0,438,"round 1",0,0,0.0061391182713299
"E09000007","London",1,324,"round 1",0.00308641975308642,0.000545036798222186,0.0172729013042586
"E09000008","London",0,304,"round 1",0,0,0.0088213060110547
"E09000009","London",1,277,"round 1",0.0036101083032491,0.000637557269377681,0.0201622877578612
"E09000010","London",0,276,"round 1",0,0,0.009707533695113
"E09000011","London",2,351,"round 1",0.0056980056980057,0.00156399198895374,0.0205344934776403
"E09000012","London",0,270,"round 1",0,0,0.00992111645339852
"E09000013","London",0,317,"round 1",0,0,0.0084626103910015
"E09000014","London",2,312,"round 1",0.00641025641025641,0.0017596873306147,0.0230675118913398
"E09000015","London",0,319,"round 1",0,0,0.00840999948290126
"E09000016","London",1,385,"round 1",0.0025974025974026,0.000458652576140889,0.0145640737514748
"E09000017","London",1,354,"round 1",0.00282485875706215,0.000498831100124547,0.0158253221713977
"E09000018","London",0,286,"round 1",0,0,0.00937129028326259
"E09000019","London",1,362,"round 1",0.00276243093922652,0.000487803441899075,0.0154793831080461
