lacode,round,swab,issued
E07000084,round 3,523,1766
E07000085,round 3,574,1700
E07000086,round 3,534,1923
E07000087,round 3,569,1703
E07000088,round 3,526,1942
E07000089,round 3,576,1701
E07000090,round 3,527,1970
E07000091,round 3,537,1705
E07000092,round 3,536,2187
E07000093,round 3,590,1800
E07000094,round 3,552,1811
E07000105,round 3,554,1965
E07000106,round 3,536,2356
E07000107,round 3,471,2193
E07000108,round 3,529,2013
E07000109,round 3,464,2373
E07000110,round 3,526,1882
E07000111,round 3,530,1765
E07000112,round 3,555,2023
E07000113,round 3,509,2077
E07000114,round 3,512,2095
E07000115,round 3,546,1763
E07000116,round 3,577,1780
E07000177,round 3,542,2053
E07000178,round 3,551,3839
E07000179,round 3,508,1846
E07000180,round 3,558,1878
E07000181,round 3,566,1963
E07000207,round 3,467,1790
E07000208,round 3,518,1964
E07000209,round 3,527,2029
E07000210,round 3,548,1756
E07000211,round 3,528,1907
E07000212,round 3,517,2260
E07000213,round 3,535,2128
E07000214,round 3,563,1863
E07000215,round 3,570,1826
E07000216,round 3,547,1734
E07000217,round 3,569,2058
E07000223,round 3,550,1867
E07000224,round 3,587,2122
E07000225,round 3,564,1941
E07000226,round 3,511,2377
E07000227,round 3,569,1722
E07000228,round 3,530,1655
E07000229,round 3,587,1937
E06000022,round 3,593,2011
E06000023,round 3,498,2504
E06000024,round 3,581,1915
E06000025,round 3,568,1949
E06000026,round 3,465,2281
E06000027,round 3,549,2217
E06000030,round 3,541,2111
E06000052,round 3,529,1944
E06000054,round 3,577,1760
E06000058,round 3,522,2250
E06000059,round 3,596,1898
E07000040,round 3,577,1760
E07000041,round 3,515,2319
E07000042,round 3,560,1899
E07000043,round 3,560,2035
E07000044,round 3,582,1787
E07000045,round 3,563,1816
E07000046,round 3,578,1909
E07000047,round 3,587,1758
E07000078,round 3,478,1904
E07000079,round 3,505,1685
E07000080,round 3,469,1831
E07000081,round 3,469,2282
E07000082,round 3,506,1778
E07000083,round 3,501,1699
E07000187,round 3,554,1929
E07000188,round 3,517,1923
E07000189,round 3,609,1915
E07000246,round 3,548,1946
E06000019,round 3,580,1952
E06000020,round 3,506,2269
E06000021,round 3,391,2575
E06000051,round 3,554,1899
E07000192,round 3,480,2021
E07000193,round 3,558,2221
E07000194,round 3,522,1766
E07000195,round 3,527,2144
E07000196,round 3,527,1793
E07000197,round 3,557,1965
E07000198,round 3,542,1796
E07000199,round 3,521,2013
E07000218,round 3,494,1956
E07000219,round 3,485,2229
E07000220,round 3,526,1992
E07000221,round 3,559,1758
E07000222,round 3,536,1896
E07000234,round 3,526,1843
E07000235,round 3,491,1845
E07000236,round 3,502,2295
E07000237,round 3,498,2228
E07000238,round 3,582,1818
E07000239,round 3,513,2045
E08000025,round 3,411,3691
E08000026,round 3,507,3075
E08000027,round 3,465,2322
E08000028,round 3,483,3421
E08000029,round 3,482,2151
E08000030,round 3,430,2696
E08000031,round 3,470,3180
E06000010,round 3,416,2734
E06000011,round 3,569,1916
E06000012,round 3,564,2381
E06000013,round 3,518,2226
E06000014,round 3,614,2134
E07000163,round 3,568,1679
E07000164,round 3,591,1767
E07000165,round 3,595,1809
E07000166,round 3,555,1775
E07000167,round 3,579,1811
E07000168,round 3,513,2051
E07000169,round 3,519,1791
E08000016,round 3,502,2202
E08000017,round 3,463,2429
E08000018,round 3,441,2282
E08000019,round 3,487,2567
E08000032,round 3,460,3033
E08000033,round 3,525,2113
E08000034,round 3,502,2348
E08000035,round 3,522,2453
E08000036,round 3,457,2183
E06000015,round 4,477,2589
E06000016,round 4,294,4108
E06000017,round 4,583,1764
E06000018,round 4,450,3705
E07000032,round 4,554,1832
E07000033,round 4,426,2095
E07000034,round 4,445,2107
E07000035,round 4,526,1699
E07000036,round 4,488,1919
E07000037,round 4,485,1800
E07000038,round 4,511,1885
E07000039,round 4,523,1780
E07000129,round 4,471,1871
E07000130,round 4,471,2052
E07000131,round 4,519,1657
E07000132,round 4,498,1736
E07000133,round 4,510,1777
E07000134,round 4,498,1800
E07000135,round 4,324,2273
E07000136,round 4,453,2755
E07000137,round 4,529,2085
E07000138,round 4,440,2549
E07000139,round 4,552,1752
E07000140,round 4,515,2174
E07000141,round 4,563,1860
