region,age_group,react_week_number,react_week_start_date,number_positive,number_samples,round
Yorkshire and The Humber,5-12,21,18/05/2020,0,294,Round 1
Yorkshire and The Humber,13-17,21,18/05/2020,0,236,Round 1
Yorkshire and The Humber,18-24,21,18/05/2020,1,240,Round 1
Yorkshire and The Humber,25-34,21,18/05/2020,0,414,Round 1
Yorkshire and The Humber,35-44,21,18/05/2020,1,495,Round 1
Yorkshire and The Humber,45-54,21,18/05/2020,1,724,Round 1
Yorkshire and The Humber,55-64,21,18/05/2020,0,876,Round 1
Yorkshire and The Humber,65+,21,18/05/2020,1,939,Round 1
East Midlands,5-12,22,25/05/2020,0,200,Round 1
East Midlands,13-17,22,25/05/2020,0,150,Round 1
East Midlands,18-24,22,25/05/2020,0,123,Round 1
East Midlands,25-34,22,25/05/2020,1,196,Round 1
East Midlands,35-44,22,25/05/2020,1,292,Round 1
East Midlands,45-54,22,25/05/2020,0,341,Round 1
East Midlands,55-64,22,25/05/2020,0,402,Round 1
East Midlands,65+,22,25/05/2020,0,402,Round 1
East of England,5-12,22,25/05/2020,0,292,Round 1
East of England,13-17,22,25/05/2020,0,180,Round 1
East of England,18-24,22,25/05/2020,0,147,Round 1
East of England,25-34,22,25/05/2020,0,306,Round 1
East of England,35-44,22,25/05/2020,0,386,Round 1
East of England,45-54,22,25/05/2020,0,487,Round 1
East of England,55-64,22,25/05/2020,0,402,Round 1
East of England,65+,22,25/05/2020,1,499,Round 1
London,5-12,22,25/05/2020,0,208,Round 1
London,13-17,22,25/05/2020,0,133,Round 1
London,18-24,22,25/05/2020,0,111,Round 1
London,25-34,22,25/05/2020,0,384,Round 1
London,35-44,22,25/05/2020,0,428,Round 1
London,45-54,22,25/05/2020,1,337,Round 1
London,55-64,22,25/05/2020,1,295,Round 1
London,65+,22,25/05/2020,0,287,Round 1
North East,5-12,22,25/05/2020,0,71,Round 1
North East,13-17,22,25/05/2020,0,72,Round 1
North East,18-24,22,25/05/2020,1,57,Round 1
North East,25-34,22,25/05/2020,0,98,Round 1
North East,35-44,22,25/05/2020,0,132,Round 1
North East,45-54,22,25/05/2020,0,183,Round 1
North East,55-64,22,25/05/2020,0,204,Round 1
North East,65+,22,25/05/2020,1,241,Round 1
North West,5-12,22,25/05/2020,0,231,Round 1
North West,13-17,22,25/05/2020,0,184,Round 1
North West,18-24,22,25/05/2020,0,114,Round 1
North West,25-34,22,25/05/2020,1,279,Round 1
North West,35-44,22,25/05/2020,0,328,Round 1
North West,45-54,22,25/05/2020,0,442,Round 1
North West,55-64,22,25/05/2020,0,455,Round 1
North West,65+,22,25/05/2020,1,516,Round 1
South East,5-12,22,25/05/2020,1,450,Round 1
South East,13-17,22,25/05/2020,2,314,Round 1
South East,18-24,22,25/05/2020,2,221,Round 1
South East,25-34,22,25/05/2020,2,488,Round 1
South East,35-44,22,25/05/2020,0,725,Round 1
South East,45-54,22,25/05/2020,0,822,Round 1
South East,55-64,22,25/05/2020,0,756,Round 1
South East,65+,22,25/05/2020,0,912,Round 1
South West,5-12,22,25/05/2020,0,170,Round 1
South West,13-17,22,25/05/2020,0,103,Round 1
South West,18-24,22,25/05/2020,0,69,Round 1
South West,25-34,22,25/05/2020,0,171,Round 1
South West,35-44,22,25/05/2020,0,212,Round 1
South West,45-54,22,25/05/2020,0,292,Round 1
South West,55-64,22,25/05/2020,0,272,Round 1
South West,65+,22,25/05/2020,0,354,Round 1
West Midlands,5-12,22,25/05/2020,0,187,Round 1
West Midlands,13-17,22,25/05/2020,0,118,Round 1
West Midlands,18-24,22,25/05/2020,0,90,Round 1
West Midlands,25-34,22,25/05/2020,0,186,Round 1
West Midlands,35-44,22,25/05/2020,0,256,Round 1
West Midlands,45-54,22,25/05/2020,1,322,Round 1
West Midlands,55-64,22,25/05/2020,0,284,Round 1
West Midlands,65+,22,25/05/2020,1,329,Round 1
Yorkshire and The Humber,5-12,22,25/05/2020,0,131,Round 1
Yorkshire and The Humber,13-17,22,25/05/2020,1,70,Round 1
Yorkshire and The Humber,18-24,22,25/05/2020,0,67,Round 1
Yorkshire and The Humber,25-34,22,25/05/2020,0,136,Round 1
Yorkshire and The Humber,35-44,22,25/05/2020,0,177,Round 1
Yorkshire and The Humber,45-54,22,25/05/2020,1,228,Round 1
Yorkshire and The Humber,55-64,22,25/05/2020,0,221,Round 1
Yorkshire and The Humber,65+,22,25/05/2020,0,284,Round 1
East Midlands,5-12,23,01/06/2020,0,10,Round 1
East Midlands,13-17,23,01/06/2020,0,2,Round 1
East Midlands,18-24,23,01/06/2020,0,2,Round 1
East Midlands,25-34,23,01/06/2020,0,2,Round 1
East Midlands,35-44,23,01/06/2020,0,2,Round 1
East Midlands,45-54,23,01/06/2020,0,12,Round 1
East Midlands,55-64,23,01/06/2020,0,4,Round 1
East Midlands,65+,23,01/06/2020,0,7,Round 1
East of England,5-12,23,01/06/2020,0,14,Round 1
East of England,13-17,23,01/06/2020,0,6,Round 1
East of England,18-24,23,01/06/2020,0,5,Round 1
East of England,25-34,23,01/06/2020,0,8,Round 1
East of England,35-44,23,01/06/2020,0,7,Round 1
East of England,45-54,23,01/06/2020,0,4,Round 1
East of England,55-64,23,01/06/2020,0,9,Round 1
East of England,65+,23,01/06/2020,0,8,Round 1
London,5-12,23,01/06/2020,0,10,Round 1
London,13-17,23,01/06/2020,0,4,Round 1
London,18-24,23,01/06/2020,0,4,Round 1
London,25-34,23,01/06/2020,0,14,Round 1
London,35-44,23,01/06/2020,0,6,Round 1
London,45-54,23,01/06/2020,0,13,Round 1
London,55-64,23,01/06/2020,0,5,Round 1
London,65+,23,01/06/2020,0,9,Round 1
North East,5-12,23,01/06/2020,0,2,Round 1
North East,13-17,23,01/06/2020,0,1,Round 1
North East,18-24,23,01/06/2020,0,2,Round 1
North East,35-44,23,01/06/2020,0,5,Round 1
North East,45-54,23,01/06/2020,0,1,Round 1
North East,55-64,23,01/06/2020,0,1,Round 1
North West,5-12,23,01/06/2020,0,18,Round 1
North West,13-17,23,01/06/2020,0,8,Round 1
North West,18-24,23,01/06/2020,0,1,Round 1
North West,25-34,23,01/06/2020,0,8,Round 1
North West,35-44,23,01/06/2020,0,12,Round 1
North West,45-54,23,01/06/2020,0,6,Round 1
North West,55-64,23,01/06/2020,0,3,Round 1
North West,65+,23,01/06/2020,0,9,Round 1
South East,5-12,23,01/06/2020,0,26,Round 1
South East,13-17,23,01/06/2020,0,11,Round 1
South East,18-24,23,01/06/2020,1,10,Round 1
South East,25-34,23,01/06/2020,0,11,Round 1
South East,35-44,23,01/06/2020,0,16,Round 1
South East,45-54,23,01/06/2020,0,15,Round 1
South East,55-64,23,01/06/2020,1,17,Round 1
South East,65+,23,01/06/2020,0,15,Round 1
South West,5-12,23,01/06/2020,0,11,Round 1
South West,13-17,23,01/06/2020,0,3,Round 1
South West,18-24,23,01/06/2020,0,1,Round 1
South West,35-44,23,01/06/2020,0,3,Round 1
South West,45-54,23,01/06/2020,0,6,Round 1
South West,55-64,23,01/06/2020,0,3,Round 1
South West,65+,23,01/06/2020,0,5,Round 1
West Midlands,5-12,23,01/06/2020,0,10,Round 1
West Midlands,13-17,23,01/06/2020,0,5,Round 1
West Midlands,18-24,23,01/06/2020,0,2,Round 1
West Midlands,25-34,23,01/06/2020,0,3,Round 1
West Midlands,35-44,23,01/06/2020,0,5,Round 1
West Midlands,45-54,23,01/06/2020,0,6,Round 1
West Midlands,55-64,23,01/06/2020,0,6,Round 1
West Midlands,65+,23,01/06/2020,0,4,Round 1
Yorkshire and The Humber,5-12,23,01/06/2020,0,5,Round 1
Yorkshire and The Humber,13-17,23,01/06/2020,0,1,Round 1
Yorkshire and The Humber,18-24,23,01/06/2020,0,3,Round 1
Yorkshire and The Humber,35-44,23,01/06/2020,0,2,Round 1
Yorkshire and The Humber,45-54,23,01/06/2020,0,2,Round 1
Yorkshire and The Humber,55-64,23,01/06/2020,0,5,Round 1
Yorkshire and The Humber,65+,23,01/06/2020,0,4,Round 1
East Midlands,5-12,25,15/06/2020,0,157,Round 2
East Midlands,13-17,25,15/06/2020,0,130,Round 2
East Midlands,18-24,25,15/06/2020,0,100,Round 2
East Midlands,25-34,25,15/06/2020,0,185,Round 2
East Midlands,35-44,25,15/06/2020,1,169,Round 2
East Midlands,45-54,25,15/06/2020,0,204,Round 2
East Midlands,55-64,25,15/06/2020,1,227,Round 2
East Midlands,65+,25,15/06/2020,0,322,Round 2
East of England,5-12,25,15/06/2020,0,177,Round 2
East of England,13-17,25,15/06/2020,0,121,Round 2
East of England,18-24,25,15/06/2020,0,130,Round 2
East of England,25-34,25,15/06/2020,1,164,Round 2
East of England,35-44,25,15/06/2020,0,217,Round 2
East of England,45-54,25,15/06/2020,1,209,Round 2
East of England,55-64,25,15/06/2020,2,219,Round 2
East of England,65+,25,15/06/2020,0,277,Round 2
London,5-12,25,15/06/2020,0,81,Round 2
London,13-17,25,15/06/2020,0,64,Round 2
London,18-24,25,15/06/2020,0,82,Round 2
London,25-34,25,15/06/2020,0,131,Round 2
London,35-44,25,15/06/2020,0,117,Round 2
London,45-54,25,15/06/2020,0,105,Round 2
London,55-64,25,15/06/2020,0,79,Round 2
London,65+,25,15/06/2020,0,98,Round 2
North East,5-12,25,15/06/2020,0,29,Round 2
North East,13-17,25,15/06/2020,0,23,Round 2
North East,18-24,25,15/06/2020,0,23,Round 2
North East,25-34,25,15/06/2020,0,36,Round 2
North East,35-44,25,15/06/2020,0,39,Round 2
North East,45-54,25,15/06/2020,0,37,Round 2
North East,55-64,25,15/06/2020,0,46,Round 2
North East,65+,25,15/06/2020,0,46,Round 2
North West,5-12,25,15/06/2020,0,165,Round 2
North West,13-17,25,15/06/2020,0,106,Round 2
North West,18-24,25,15/06/2020,0,101,Round 2
North West,25-34,25,15/06/2020,0,162,Round 2
North West,35-44,25,15/06/2020,1,202,Round 2
North West,45-54,25,15/06/2020,0,189,Round 2
North West,55-64,25,15/06/2020,1,196,Round 2
North West,65+,25,15/06/2020,0,275,Round 2
South East,5-12,25,15/06/2020,0,205,Round 2
South East,13-17,25,15/06/2020,0,136,Round 2
South East,18-24,25,15/06/2020,0,148,Round 2
South East,25-34,25,15/06/2020,0,194,Round 2
