date,logit(p),lb_2.5,lb_25,ub_97.5,ub_75
2020-11-23,-4.728782116,-4.810208022,-4.75591276,-4.655710108,-4.702778173
2020-11-24,-4.726905531,-4.809054136,-4.754693806,-4.64971261,-4.699663474
2020-11-25,-4.71801748,-4.803429758,-4.746885366,-4.63623748,-4.689656163
2020-11-26,-4.702518242,-4.790828962,-4.732203538,-4.617594238,-4.673195372
2020-11-27,-4.6811239,-4.772983961,-4.711997031,-4.592735259,-4.650731984
2020-11-28,-4.655562766,-4.753957822,-4.688350698,-4.561209198,-4.622863101
2020-11-29,-4.627188448,-4.736891968,-4.663705325,-4.521886184,-4.59086548
2020-11-30,-4.597804372,-4.72155632,-4.639570906,-4.476591052,-4.555999056
2020-12-01,-4.568943201,-4.711194847,-4.617356092,-4.426938379,-4.520156558
2020-12-02,-4.54131542,-4.705437332,-4.597451178,-4.372474839,-4.484301227
2020-12-03,-4.51508937,-4.706548392,-4.580613555,-4.313051272,-4.447753493
2021-01-06,-4.153947139,-4.225591176,-4.178448787,-4.085106652,-4.129525642
2021-01-07,-4.159295957,-4.214890147,-4.178377531,-4.104894553,-4.140211163
2021-01-08,-4.159319226,-4.210926771,-4.176772341,-4.109238996,-4.141871479
2021-01-09,-4.152730881,-4.20628125,-4.170993732,-4.101472107,-4.134847917
2021-01-10,-4.139130324,-4.193306828,-4.157817138,-4.085756779,-4.120506546
2021-01-11,-4.120464869,-4.174918702,-4.139339585,-4.065489869,-4.101466533
2021-01-12,-4.100731253,-4.158243606,-4.120477576,-4.042814313,-4.080812846
2021-01-13,-4.083796946,-4.146306625,-4.105378511,-4.0201428,-4.062103502
2021-01-14,-4.073636373,-4.141843293,-4.097423512,-4.003227494,-4.050017423
2021-01-15,-4.073807819,-4.146657394,-4.099113769,-3.998899589,-4.048635161
2021-01-16,-4.08482397,-4.162497005,-4.111669747,-4.006418711,-4.05830968
2021-01-17,-4.106401769,-4.190174916,-4.135217715,-4.023219709,-4.0777589
2021-01-18,-4.137991831,-4.231118657,-4.169824903,-4.04749956,-4.106589609
2021-01-19,-4.179240585,-4.28433717,-4.214833099,-4.078993629,-4.14430146
2021-01-20,-4.229275102,-4.350292025,-4.269874618,-4.116292432,-4.189786923
2021-01-21,-4.28650654,-4.429569486,-4.334205938,-4.156299917,-4.240739391
2021-01-22,-4.348790992,-4.519796531,-4.40543556,-4.196872818,-4.29505667
2021-01-23,-4.414088371,-4.617420219,-4.480249353,-4.239361719,-4.351825333
2021-01-24,-4.480168931,-4.716060039,-4.556117436,-4.28498893,-4.410005516
2021-01-25,-4.546015914,-4.811323183,-4.62988234,-4.333400307,-4.468889304
2021-01-26,-4.61055913,-4.900803322,-4.700988304,-4.384307904,-4.52793257
2021-01-27,-4.673897328,-4.983338598,-4.769293674,-4.43753091,-4.586681736
2021-01-28,-4.735513928,-5.057323869,-4.833756579,-4.492687607,-4.645001362
2021-01-29,-4.795352253,-5.119241394,-4.894104162,-4.551088403,-4.703883928
2021-01-30,-4.852896642,-5.166688801,-4.949099007,-4.613441583,-4.762937214
2021-01-31,-4.907714599,-5.200688047,-4.999209627,-4.678758403,-4.821697298
2021-02-01,-4.96029669,-5.228340854,-5.045193189,-4.743800026,-4.879333318
2021-02-02,-5.009424412,-5.253765772,-5.087242016,-4.807314645,-4.934779695
2021-02-03,-5.055349886,-5.275617505,-5.125826634,-4.869903131,-4.987991387
2021-02-04,-5.098524658,-5.292770681,-5.161407756,-4.931516239,-5.038786705
2021-02-05,-5.138800777,-5.306444471,-5.193911037,-4.990302738,-5.086153747
2021-02-06,-5.175660325,-5.317947476,-5.223239968,-5.043269365,-5.129132971
2021-02-07,-5.208037219,-5.330368991,-5.249384906,-5.089279036,-5.166626217
2021-02-08,-5.235187859,-5.342868648,-5.271978526,-5.128300338,-5.198372701
2021-02-09,-5.257189677,-5.354076805,-5.290408496,-5.160394626,-5.224183284
2021-02-10,-5.275038363,-5.364638165,-5.305642072,-5.186602852,-5.244608333
2021-02-11,-5.290137965,-5.376134581,-5.319489939,-5.205752684,-5.260868591
2021-02-12,-5.303210131,-5.38942136,-5.332731565,-5.219002891,-5.27416711
2021-02-13,-5.315701223,-5.403785241,-5.346013192,-5.229675637,-5.2859909
2021-02-14,-5.328568652,-5.418678681,-5.359317214,-5.240278639,-5.298017303
2021-02-15,-5.341303455,-5.435442073,-5.373411366,-5.249176802,-5.309572701
2021-02-16,-5.35339796,-5.454638686,-5.387691167,-5.254438372,-5.319453748
2021-02-17,-5.364594671,-5.475521486,-5.401881167,-5.256010223,-5.32737181
2021-02-18,-5.374063854,-5.497399308,-5.414897817,-5.254997268,-5.333331652
2021-02-19,-5.382443315,-5.518908697,-5.427519821,-5.249653964,-5.336660835
2021-02-20,-5.390259319,-5.543809932,-5.441390897,-5.237884046,-5.337926407
2021-02-21,-5.399120855,-5.573049826,-5.458122782,-5.21757528,-5.338535495
2021-02-22,-5.41033023,-5.605934853,-5.477681082,-5.193456894,-5.340292423
2021-02-23,-5.424840241,-5.641064729,-5.500259295,-5.168882038,-5.344714389
2021-02-24,-5.443652518,-5.678636221,-5.525990053,-5.148886202,-5.353721318
2021-02-25,-5.465649052,-5.719356106,-5.554731426,-5.133806412,-5.366272682
2021-02-26,-5.490302637,-5.761058607,-5.586067701,-5.123544108,-5.381915215
2021-02-27,-5.517626654,-5.802930362,-5.618681177,-5.121973615,-5.40144718
2021-02-28,-5.547579289,-5.844685735,-5.651880492,-5.127796648,-5.425096003
2021-03-01,-5.579109737,-5.88575817,-5.685470715,-5.143499728,-5.452405755
2021-03-02,-5.612673872,-5.926518704,-5.720406119,-5.1690958,-5.4831586
2021-03-03,-5.647774049,-5.966700486,-5.756356817,-5.20213436,-5.517718428
2021-03-04,-5.684736359,-6.006229375,-5.794438948,-5.241931517,-5.555687076
2021-03-05,-5.7239881,-6.043160961,-5.833644569,-5.287679162,-5.596870223
2021-03-06,-5.765527667,-6.079887276,-5.874132633,-5.340690839,-5.642047195
2021-03-07,-5.809456854,-6.114571151,-5.915047265,-5.401580747,-5.691221938
2021-03-08,-5.85564712,-6.148005215,-5.956602873,-5.469825512,-5.743587117
2021-03-09,-5.903393521,-6.180631764,-5.99861161,-5.544483752,-5.79830492
2021-03-10,-5.951807097,-6.210682779,-6.040704812,-5.626936598,-5.855329036
2021-03-11,-6.000728549,-6.240062969,-6.082389352,-5.715934635,-5.913207613
2021-03-12,-6.048609052,-6.268631378,-6.12348269,-5.804685858,-5.970138889
2021-03-13,-6.094474515,-6.29625724,-6.163366262,-5.887546715,-6.024863955
2021-03-14,-6.137712626,-6.324435795,-6.201304137,-5.957624143,-6.075577024
2021-03-15,-6.176831075,-6.35125858,-6.2353036,-6.015124108,-6.120373787
2021-03-16,-6.210322205,-6.375406539,-6.264982097,-6.058476953,-6.157299784
2021-03-17,-6.237035705,-6.397623445,-6.28982013,-6.091336595,-6.186069119
2021-03-18,-6.256666773,-6.416815774,-6.308354715,-6.114649069,-6.20677612
2021-03-19,-6.269227521,-6.427909362,-6.32032913,-6.1294164,-6.22016131
2021-03-20,-6.274599737,-6.428661297,-6.325005693,-6.135807462,-6.225887491
2021-03-21,-6.273143534,-6.422823908,-6.323003917,-6.13370175,-6.22460234
2021-03-22,-6.26565473,-6.41573246,-6.316701443,-6.122790857,-6.21587363
2021-03-23,-6.254217164,-6.4129419,-6.30839747,-6.099964282,-6.200980565
2021-03-24,-6.240783973,-6.415065444,-6.300510298,-6.067818712,-6.181500142
2021-03-25,-6.227186101,-6.419512173,-6.293536896,-6.030617713,-6.160391327
2021-03-26,-6.214365432,-6.426768951,-6.288260662,-5.992930591,-6.139719223
2021-03-27,-6.203873845,-6.438612207,-6.285794069,-5.956088056,-6.119878639
2021-03-28,-6.196032296,-6.454277882,-6.286924612,-5.920137219,-6.102923825
2021-03-29,-6.192502462,-6.473922376,-6.291888039,-5.888390296,-6.090137417
2021-03-30,-6.193691645,-6.499101177,-6.30153104,-5.861806004,-6.082511291
2021-03-31,-6.200522081,-6.528251864,-6.315997765,-5.84157506,-6.080681075
2021-04-01,-6.212219603,-6.562116289,-6.334927852,-5.825851159,-6.084242482
2021-04-02,-6.227957354,-6.598715352,-6.357459261,-5.81518464,-6.092333607
2021-04-03,-6.247782044,-6.635015159,-6.38236404,-5.811118072,-6.105464834
2021-04-04,-6.270795656,-6.670299995,-6.409235814,-5.814011545,-6.123225149
2021-04-05,-6.296071473,-6.704528099,-6.437520766,-5.822262721,-6.145341456
2021-04-06,-6.323968281,-6.739049526,-6.467374694,-5.837351494,-6.171014763
2021-04-07,-6.353709351,-6.772059788,-6.498392094,-5.858774565,-6.200180951
2021-04-08,-6.385938741,-6.806009386,-6.530020756,-5.889486439,-6.232706219
2021-04-09,-6.4200911,-6.837873521,-6.562557702,-5.929855624,-6.268816947
2021-04-10,-6.456201279,-6.869114868,-6.595381196,-5.981286791,-6.30873283
2021-04-11,-6.493729135,-6.898767488,-6.628871602,-6.041501479,-6.351123265
2021-04-12,-6.532696693,-6.926903981,-6.663152481,-6.106187545,-6.396747854
